vocab_size,vocab_construct,vocab_init,pre-tok,segment,fertility,renyi_efficiency_a_1,renyi_efficiency_a_2,renyi_efficiency_a_2_5,unigram_entropy,compression_ratio_global_mean,bigrams_entropy,average_token_rank,corr_chunkability_rt_mean,corr_chunkability_rt_z,corr_chunkability_accuracy,encoding_length,chars_total,avg_chars_per_token,u_stats_n_tokens,u_mean,u_median,final_tokens_count,used_in_merges,no_leading_space_tokens_count,no_leading_space_tokens_share,AUC_zipf,SLOPE_zipf,POWER_LAW_MAE_zipf,macro_precision_morphscore,macro_recall_morphscore
32768,bpe,,firstspace,greedy,0.2255957399,11.02089671,7.315195933,6.665018557,11.02089671,0.02118092105,17.64903502,2445.692232,-0.1840101295,-0.1927169359,0.160381375,67190367,297280223,4.424447079,12155,4.055277261,4.001188262,14777,17818,14053,0.4311397454,108.014657,-1.609179,0.696343,0.3631498267,0.3946058829
40960,bpe,,firstspace,greedy,0.2215584426,11.06265133,7.273098699,6.625876616,11.06265133,0.02157196929,17.67060562,2736.765038,-0.2134299059,-0.2259180609,0.1786404027,65969529,297280223,4.506326292,14999,3.911876915,3.830621524,18581,22151,17547,0.4307915153,108.743827,-1.62734,0.667455,0.3965605183,0.4235364397
49152,bpe,,firstspace,greedy,0.218666748,11.0915363,7.242825532,6.598073217,11.0915363,0.02186898637,17.6808518,2990.671042,-0.2473445515,-0.2578678084,0.1982024922,65086179,297280223,4.567486179,17821,3.779972906,3.697596247,22286,26573,21073,0.4313023189,109.292223,-1.641389,0.648108,0.4247517426,0.4487730354
32768,bpe,,firstspace,merge,0.2259292758,11.00194893,7.338909664,6.679352848,11.00194893,0.02117338673,17.66165659,2317.79723,-0.3743148589,-0.3923081865,0.3445475003,67327610,297280223,4.415428128,28113,3.476669471,3.359387216,14576,18192,14151,0.431854248,108.042478,-1.619426,0.642777,0.1581200569,0.1770638941
40960,bpe,,firstspace,merge,0.2217745305,11.04459738,7.29008964,6.635916685,11.04459738,0.02156171049,17.68122959,2602.005568,-0.3564107214,-0.3784203506,0.3586495793,66074132,297280223,4.499192256,34188,3.352723895,3.233178103,18340,22620,17672,0.4314453125,108.752816,-1.641396,0.620475,0.1612512637,0.1766381766
49152,bpe,,firstspace,merge,0.2188255774,11.0720684,7.255661761,6.605625211,11.0720684,0.02186534532,17.68810517,2837.909665,-0.3468323908,-0.3701367651,0.3764622439,65177354,297280223,4.561096834,40061,3.239540029,3.105957805,22004,27148,21229,0.4319051107,109.283786,-1.660611,0.60578,0.1616370667,0.1744963239
32768,bpe,,firstspace,pathpiecel,0.2249218797,11.08496737,7.331185232,6.669073692,11.08496737,0.02124367869,17.69385955,2536.36665,-0.1797071269,-0.1868919847,0.1620755712,66986740,297280223,4.43789656,12155,4.055277261,4.001188262,14777,17818,14053,0.4311397454,108.077114,-1.528608,0.605604,0.0885519417,0.09361947925
40960,bpe,,firstspace,pathpiecel,0.2209632669,11.1206439,7.284105813,6.627764829,11.1206439,0.02162964388,17.70658172,2840.907516,-0.2163888598,-0.2261144825,0.1840287333,65792757,297280223,4.518433891,14999,3.911876915,3.830621524,18581,22151,17547,0.4307915153,108.80841,-1.55386,0.588853,0.08574349784,0.0897895414
49152,bpe,,firstspace,pathpiecel,0.2181540521,11.14215117,7.250424126,6.598559409,11.14215117,0.02192027249,17.70906245,3095.944481,-0.2413918433,-0.2502752267,0.1986279591,64931301,297280223,4.578380818,17821,3.779972906,3.697596247,22286,26573,21073,0.4313023189,109.359754,-1.57502,0.579204,0.08075288838,0.08369139693
32768,pathpiecel,initbpe,firstspace,pathpiecel,0.2233409147,11.05912251,7.308947673,6.651863858,11.05912251,0.02139055648,17.68787461,2503.622868,-0.1989714407,-0.2101231651,0.1626758882,66522554,297280223,4.468863643,10811,4.71891517,4.550940708,16903,15436,12933,0.3999196017,107.953676,-1.522812,0.587504,0.1491635271,0.1549156799
40960,pathpiecel,initbpe,firstspace,pathpiecel,0.2196028912,11.09422113,7.265265368,6.613126075,11.09422113,0.02178369294,17.69862985,2797.911463,-0.2276249293,-0.2388764464,0.1847709495,65388730,297280223,4.546352605,13395,4.554846378,4.397077074,21144,19354,16269,0.4017235419,108.701088,-1.551616,0.573115,0.1591319444,0.1635185185
49152,pathpiecel,initbpe,firstspace,pathpiecel,0.2169004234,11.11713563,7.233028687,6.584749455,11.11713563,0.02205237925,17.70045625,3051.590051,-0.2382141931,-0.2483879559,0.1962845794,64570965,297280223,4.603930311,15821,4.331404735,4.210336222,25161,23498,19520,0.4011590867,109.263266,-1.575373,0.56792,0.1645060834,0.1680668212
32768,pathpiecel,initngram,firstspace,pathpiecel,0.2155918447,11.78570365,8.030838259,7.254694693,11.78570365,0.02212431433,18.27918329,3187.665926,-0.1437316147,-0.1540127243,0.1336294297,64320244,297280223,4.621876481,10519,4.64974794,4.665065595,16652,16117,13189,0.4024840551,107.081729,-1.541262,0.755947,0.09956751055,0.1051054852
40960,pathpiecel,initngram,firstspace,pathpiecel,0.2111697058,11.88994221,7.982104722,7.207832522,11.88994221,0.02258724643,18.31365244,3710.540958,-0.1609506723,-0.1715345268,0.1477062278,62987408,297280223,4.719677034,13368,4.482485516,4.485730579,20345,20616,16790,0.409902102,107.826563,-1.551189,0.736312,0.1001224542,0.1056114119
49152,pathpiecel,initngram,firstspace,pathpiecel,0.2086981214,11.97329116,7.955587293,7.182329201,11.97329116,0.02286135466,18.32983288,4158.281024,-0.1677463254,-0.1784703008,0.1519782146,62258803,297280223,4.774910674,17213,4.308291729,4.303361187,23651,25502,21652,0.4405021057,108.401984,-1.580727,0.735416,0.09495277189,0.09895833333
32768,pathpiecel,initngram,firstspacedigit,pathpiecel,0.2226964197,11.53223258,7.926325956,7.220240456,11.53223258,0.02152305967,17.92305956,2944.018522,-0.1600107848,-0.1708370874,0.1388226755,66484868,297280223,4.471396755,10026,4.134074817,4.332744943,16462,16307,12631,0.3854557661,107.554145,-1.555695,0.758775,0.100993168,0.1074561404
40960,pathpiecel,initngram,firstspacedigit,pathpiecel,0.2184486171,11.62692055,7.887053867,7.182343021,11.62692055,0.02195247898,17.94950652,3425.083497,-0.1730824392,-0.1832283175,0.1509387044,65214404,297280223,4.558505557,12701,3.883635425,4.090268328,19973,20988,16080,0.3925685408,108.303551,-1.566598,0.745486,0.1009117951,0.1062252112
49152,pathpiecel,initngram,firstspacedigit,pathpiecel,0.2161177991,11.70341671,7.862594178,7.158633361,11.70341671,0.02219479185,17.96175339,3840.183319,-0.1972429297,-0.2063454893,0.1667858777,64527164,297280223,4.607055457,16483,3.619634323,3.819626721,23006,26147,20930,0.4258132769,108.88386,-1.594722,0.746238,0.09872292057,0.1028795578
32768,pathpiecel,initunigram,firstspace,pathpiecel,0.2550179524,10.32206248,6.506998382,5.843222596,10.32206248,0.0188524448,16.71037714,1831.52603,-0.2340847788,-0.2536689428,0.2122385403,76181307,297280223,3.902272548,16295,3.812809765,3.639972057,16919,15850,19242,0.5872013183,109.051468,-1.663587,0.566651,0.299836899,0.3230917874
40960,pathpiecel,initunigram,firstspace,pathpiecel,0.2530107483,10.3253265,6.368515756,5.692070023,10.3253265,0.01900482914,16.68891455,2006.979809,-0.2488191319,-0.2658566282,0.2318339273,75588376,297280223,3.932882789,20869,3.496202202,3.348930852,21123,19838,25153,0.6140719221,109.749315,-1.713677,0.559715,0.2921483679,0.3106530275
49152,pathpiecel,initunigram,firstspace,pathpiecel,0.2517827793,10.30895277,6.227092953,5.539210165,10.30895277,0.01910281002,16.65949758,2150.014894,-0.2360513665,-0.2529986049,0.231866217,75231314,297280223,3.951548992,25510,3.252154064,3.106714905,25569,23584,31287,0.6365226944,110.265099,-1.751774,0.554958,0.2847677973,0.3015136449
32768,pathpiecer,initngram,firstspacedigit,pathpiecer,0.221920333,11.44436315,7.878402024,7.199125038,11.44436315,0.02160441058,17.94292878,2921.187371,-0.1645135989,-0.1716532466,0.1449566547,66248830,297280223,4.487327897,10120,4.161836872,4.353806743,17298,15471,12813,0.3910097958,107.551465,-1.553787,0.785463,0.1285826338,0.1349953362
40960,pathpiecer,initngram,firstspacedigit,pathpiecer,0.2178311455,11.54086753,7.847582491,7.166545702,11.54086753,0.02201609621,17.96421595,3399.90763,-0.1731831243,-0.1820221804,0.1497027773,65030177,297280223,4.571419558,13090,3.895245301,4.113892316,20858,20103,16648,0.4064353898,108.297976,-1.56488,0.776138,0.1287394556,0.1342725454
49152,pathpiecer,initngram,firstspacedigit,pathpiecer,0.2157522678,11.61144025,7.832315059,7.149842585,11.61144025,0.02223530045,17.97413052,3782.417118,-0.2050760774,-0.2128987354,0.1682364963,64420193,297280223,4.614705563,17134,3.629068353,3.821643782,24005,25148,21907,0.4456899884,108.888355,-1.592475,0.772013,0.1182850307,0.122020585
32768,pathpiecer,initngram,,pathpiecer,0.1960560711,13.51200341,11.01054957,9.959857002,13.51200341,0.02437902978,19.77084155,5641.759034,-0.1493553885,-0.162487197,0.1540256494,58480394,297280223,5.083416897,11860,3.859709546,4.022934017,16468,16301,19716,0.6016662089,102.57393,-1.307705,0.80465,0.102124183,0.107539476
40960,pathpiecer,initngram,,pathpiecer,0.1919971128,13.85078808,11.12815784,9.99191282,13.85078808,0.0248875407,19.83885286,7141.487931,-0.1777881613,-0.1876432089,0.1686349954,57281228,297280223,5.189836765,14980,3.634207973,3.782923272,20005,20956,25864,0.6314298967,102.852564,-1.274089,0.771341,0.07892309981,0.08206157965
49152,pathpiecer,initngram,,pathpiecer,0.1892491603,14.12520051,11.20062096,10.00451329,14.12520051,0.02525025501,19.88154468,8669.89567,-0.1961705523,-0.2091640234,0.1805542086,56465674,297280223,5.26479544,17825,3.477728944,3.578701384,23424,25729,32099,0.6530425406,103.05943,-1.247591,0.74285,0.07124133844,0.07371444201
32768,pathpiecer,initngram,spacedigit,pathpiecer,0.3757849292,7.370615239,2.370598705,1.983073747,7.370615239,0.01282954877,12.87729667,1530.29345,-0.3354760473,-0.3554577502,0.3287144623,112652296,297280223,2.638918456,23791,2.941086448,2.922990512,18964,13805,32768,0.9999694834,108.315749,-1.553232,0.775992,0.1940156883,0.1964406208
40960,pathpiecer,initngram,spacedigit,pathpiecer,0.3722701373,7.382675553,2.343742416,1.960550689,7.382675553,0.01295721713,12.90167041,1758.75089,-0.3324252624,-0.3567965636,0.34970332,111586455,297280223,2.664124629,28904,2.780127103,2.738319549,23298,17663,40960,0.9999755865,109.054766,-1.553576,0.751571,0.1636803988,0.1653498871
49152,pathpiecer,initngram,spacedigit,pathpiecer,0.370433352,7.404750566,2.329858907,1.948882221,7.404750566,0.01302211967,12.92363359,1952.10381,-0.3013443426,-0.3328472575,0.3500143954,111033350,297280223,2.677395782,34284,2.687270827,2.635046833,27238,21915,49152,0.9999796554,109.60749,-1.579714,0.760471,0.1163254517,0.1173587082
32768,sage,initbpe,firstspace,greedy,0.2551229575,10.33933595,6.400520499,5.699979786,10.33933595,0.01877656054,16.66845618,1834.85355,-0.182543903,-0.1833576278,0.1297914006,75941765,297280223,3.91458143,11118,3.897448057,3.806382688,19117,13652,12474,0.3806646526,109.005165,-1.700277,0.605307,0.2392527028,0.257461968
40960,sage,initbpe,firstspace,greedy,0.253088385,10.3461777,6.342298453,5.641420601,10.3461777,0.01892866257,16.65992818,1948.886689,-0.183470944,-0.1845000477,0.1334296729,75303423,297280223,3.94776507,12907,3.717293694,3.626442654,24736,16225,14795,0.3611972364,109.639587,-1.803123,0.613914,0.2465050042,0.2634262063
49152,sage,initbpe,firstspace,greedy,0.2516976653,10.34949871,6.305307716,5.604486782,10.34949871,0.01903865398,16.65299594,2037.547274,-0.1797763343,-0.179720518,0.1241550436,74888341,297280223,3.969646263,14478,3.555422484,3.466987427,30389,18764,17067,0.3472219397,110.116148,-1.865062,0.602669,0.2476033982,0.2644235785
32768,sage,initngram,firstspace,greedy,0.2479666314,11.14969382,7.202730776,6.38646632,11.14969382,0.01924547551,17.50978213,2300.734666,-0.1691788576,-0.1648867434,0.1607805842,74040373,297280223,4.015109743,17800,2.810817145,2.69032059,17908,14861,20873,0.6369739693,108.523588,-1.749851,0.770027,0.1274859372,0.1342315369
40960,sage,initngram,firstspace,greedy,0.2465038545,11.13048548,6.91660854,6.084378668,11.13048548,0.01937552369,17.46842468,2552.168516,-0.1740901107,-0.1710025509,0.1711206154,73614658,297280223,4.038329201,24098,2.426593818,2.176178479,21815,19146,28744,0.7017406802,109.269092,-1.809717,0.786013,0.1366300909,0.1421016212
49152,sage,initngram,firstspace,greedy,0.2456965446,11.10606576,6.71774019,5.880393881,11.10606576,0.01944024208,17.43748774,2740.099248,-0.1647281762,-0.1638150017,0.1801947442,73375137,297280223,4.051511659,30150,2.014001311,1.637401907,25126,24027,36734,0.7473399386,109.76873,-1.870519,0.816492,0.1344044559,0.139353042
32768,sage,initngram,firstspacedigit,greedy,0.2571880234,10.87249924,6.865991412,6.041103748,10.87249924,0.01864396526,17.14151434,2102.985284,-0.1573848558,-0.1691606037,0.1685835265,76858774,297280223,3.867876204,17859,2.43829016,2.370909712,17895,14874,20876,0.6370655192,108.903841,-1.760902,0.752746,0.1232791519,0.130777747
40960,sage,initngram,firstspacedigit,greedy,0.2558120396,10.85135681,6.621290304,5.789979234,10.85135681,0.01874663848,17.10389784,2327.081987,-0.1571020594,-0.1663933705,0.1747734242,76455667,297280223,3.888269303,24066,2.029548413,1.851584335,21690,19271,28730,0.7013988916,109.623902,-1.830185,0.783733,0.1306639326,0.1371428571
49152,sage,initngram,firstspacedigit,greedy,0.2551628042,10.82912552,6.456879704,5.624395406,10.82912552,0.01879400315,17.07617999,2487.983579,-0.1521002535,-0.1632511732,0.1804712056,76257373,297280223,3.898380069,30117,1.599873773,1.236884044,24708,24445,36782,0.7483164812,110.101259,-1.894421,0.81558,0.1157587723,0.121586048
32768,sage,initunigram,firstspace,greedy,0.2858829251,9.615090315,5.638675118,4.937255799,9.615090315,0.01687081911,15.83483059,1408.234317,-0.1416871941,-0.1459840826,0.1394748241,85385665,297280223,3.481617471,19755,2.901304886,2.69855822,19454,13315,22746,0.6941316488,109.546065,-1.773282,0.597267,0.3102252047,0.3532377919
40960,sage,initunigram,firstspace,greedy,0.2845404035,9.609210913,5.546700499,4.843995324,9.609210913,0.01694864489,15.82530088,1498.363139,-0.1359147566,-0.1385969811,0.1377700711,84981140,297280223,3.498190575,24604,2.561802914,2.345123787,25034,15927,30036,0.7332828788,110.112539,-1.881524,0.647261,0.3113283793,0.3518395021
49152,sage,initunigram,firstspace,greedy,0.2840221497,9.605697222,5.51485592,4.812215698,9.605697222,0.01698067701,15.820977,1536.025995,-0.1321538847,-0.1350637369,0.1349627422,84820563,297280223,3.504813131,28286,2.388636132,2.175430791,30609,18544,37425,0.7613980835,110.434343,-2.007392,0.706965,0.3083525993,0.3478309733
32768,unigram,,firstspace,greedy,0.2681687572,9.942825538,6.701657228,6.130449815,9.942825538,0.01795936736,16.42283186,1224.377026,-0.2250328905,-0.2429864834,0.2349517955,80314675,297280223,3.701443391,19527,2.956473219,2.716543564,21517,11251,24121,0.736114502,108.6301,-2.160049,0.78761,0.5993010025,0.6583710407
40960,unigram,,firstspace,greedy,0.2641487519,10.01946036,6.729353394,6.163353172,10.01946036,0.01823438697,16.47715325,1369.232325,-0.2298881689,-0.2502335637,0.2469220972,79088050,297280223,3.758851344,24264,2.819164405,2.586764961,26278,14682,30604,0.7471679688,109.310509,-2.150417,0.739237,0.6418987771,0.6890223557
49152,unigram,,firstspace,greedy,0.2617766059,10.06313754,6.738621433,6.17472508,10.06313754,0.01839798432,16.50416209,1473.982603,-0.2310605402,-0.250614714,0.2533661707,78352591,297280223,3.794133917,28749,2.687364482,2.458333188,30995,18157,37110,0.7550048828,109.817479,-2.144681,0.693612,0.6609529302,0.7022491349
32768,unigram,,firstspace,likelihood,0.2637400904,9.690879649,5.560159179,4.873830789,9.690879649,0.01818618953,16.16864187,1615.85984,-0.3602904732,-0.3845714452,0.326910308,78771488,297280223,3.773957184,27526,3.130098698,2.996635921,21331,11437,24121,0.736114502,108.915365,-1.652076,0.591691,0.5852984784,0.6402714932
40960,unigram,,firstspace,likelihood,0.2604042665,9.741435262,5.560015165,4.874490814,9.741435262,0.01842774746,16.20377179,1788.339416,-0.3487766488,-0.3759791046,0.3312721947,77757966,297280223,3.823148139,33727,3.006089863,2.870692542,26048,14912,30604,0.7471679688,109.622417,-1.684612,0.580373,0.6249095657,0.6691691692
49152,unigram,,firstspace,likelihood,0.2585245295,9.771913868,5.562428254,4.877403884,9.771913868,0.01856367651,16.22188224,1905.901762,-0.3373202346,-0.3651375995,0.325826092,77183065,297280223,3.851625003,39652,2.902924451,2.758624486,30720,18432,37110,0.7550048828,110.139788,-1.724365,0.570399,0.6416334377,0.6799307958
32768,unigram,,firstspace,pathpiecel,0.2612643768,9.847381309,5.703583213,5.005141922,9.847381309,0.01841807191,16.31279008,1652.808485,-0.2142172139,-0.2324029832,0.2319333616,78164764,297280223,3.803251079,19527,2.956473219,2.716543564,21517,11251,24121,0.736114502,108.871183,-1.711536,0.643762,0.4541598691,0.4945054945
40960,unigram,,firstspace,pathpiecel,0.257703116,9.91825012,5.713107419,5.014874727,9.91825012,0.01867233558,16.36259512,1843.964368,-0.2155508702,-0.2356215451,0.2422533497,77087128,297280223,3.856418454,24264,2.819164405,2.586764961,26278,14682,30604,0.7471679688,109.562158,-1.753483,0.642477,0.4691784377,0.500333667
49152,unigram,,firstspace,pathpiecel,0.2556914727,9.963942574,5.718644939,5.020112353,9.963942574,0.01881885336,16.39144242,1978.523943,-0.2132884291,-0.2321381507,0.2428520927,76468257,297280223,3.887629124,28749,2.687364482,2.458333188,30995,18157,37110,0.7550048828,110.072939,-1.799061,0.637672,0.461964629,0.4880622837
32768,wordpiece,,firstspace,greedy,0.2271537849,11.02495415,7.347186075,6.691749337,11.02495415,0.02104942918,17.63625337,2377.684612,-0.3695934734,-0.3884757995,0.3396343049,67696606,297280223,4.391360817,28157,3.605289703,3.471333179,18130,14638,14864,0.4536132813,107.991597,-1.675933,0.744307,0.126312141,0.126984127
40960,wordpiece,,firstspace,greedy,0.2230128804,11.06649831,7.301928615,6.650121413,11.06649831,0.02143727814,17.66069474,2657.294064,-0.3566465226,-0.377954117,0.3525132466,66450445,297280223,4.47371305,34416,3.519945902,3.38728986,22643,18317,18726,0.4571777344,108.705388,-1.704066,0.720912,0.1478203014,0.1484422459
49152,wordpiece,,firstspace,greedy,0.2199443929,11.09464068,7.267312603,6.61848275,11.09464068,0.02174275721,17.67338917,2905.387774,-0.3387248016,-0.3632293197,0.3651681888,65509100,297280223,4.537998889,40493,3.426803458,3.304699814,26989,22163,22574,0.4592692057,109.256045,-1.712829,0.694628,0.1649847367,0.1655552592